,Name,Amplitude,Distance,Drift,EclipticLatitude,EclipticLongitude,ErrorDistance,ErrorMass1,ErrorMass2,Frequency,FrequencyDerivative,GalacticLatitude,GalacticLongitude,Inclination,InitialPhase,Mass1,Mass2,Period,Polarization
0,b'HPLib',1.5722709617019649e-22,276.0,0.0,0.08656634160256667,4.102997896283801,4.0,0.16,0.02,0.0018137299356125872,2.5249638201833535e-18,0.5680470226660024,6.144538250895371,0.5235987755982988,5.090570189425126,0.645,0.068,1102.7,6.0602234589642325
1,b'ZTFJ2320',2.4255287941162853e-23,2510.0,0.0,0.6648602074299828,0.15207473359741208,220.0,0.03,0.01,0.0006033546882680517,1.3040644383129953e-19,-0.3771747762367256,1.810523461687488,1.4748032179352084,3.1127827331848192,0.69,0.2,3314.7998,3.3065587353199613
2,b'SDSSJ0923',2.638561000683058e-22,299.0,0.0,0.25183010111081694,2.3336860897962515,10.0,0.015,0.23,0.0005149728351829441,1.0507323654511276e-19,0.7814782094002161,3.417702144406621,1.0471975511965976,3.339198104910743,0.275,0.76,3883.7,1.8768107855557548
3,b'AMCVn',2.829116175767089e-22,299.0,0.0,0.6534962530765648,2.9737231987595103,4.0,0.06,0.012,0.0019441447221331155,6.0618971406371515e-18,1.3777315314620941,2.447550183846145,0.7504915783575616,5.141844767695358,0.68,0.125,1028.73,3.5671215612441567
4,b'CX1751',4.223899982634202e-23,971.0,0.0,-0.10913125900810083,4.678487156364733,156.0,0.1,0.026,0.0014545454545454545,1.23087958636233e-18,-0.02462315997059722,6.282921905292416,1.0471975511965976,1.3757036977838175,0.8,0.064,1375.0,4.705519181402343
5,b'ZTFJ2029',4.526292584157737e-23,2020.0,0.0,0.5835321925286995,5.487962027176652,150.0,0.04,0.04,0.0015973720048555093,3.634235115566526e-18,-0.23501824761411688,1.0224780898307921,1.512153263927887,0.9436307270844012,0.32,0.3,1252.056499,4.547049138788613
6,b'SDSSJ0935',2.990700692811302e-22,645.0,0.0,0.49032986549172436,2.285934155589039,41.0,0.019,0.24,0.0016835016835016834,8.975820351917969e-18,0.8268951657744624,3.073168893871246,1.0471975511965976,4.457981426310531,0.312,0.75,1188.0,0.05270523037861366
7,b'ZTFJ1539',9.920753733951951e-23,2340.0,0.0,1.154738282986135,3.5784075522268592,140.0,0.0195,0.015,0.004821699107149872,2.5378249511019894e-16,0.882819926809479,1.4097828040862033,1.4686945655532282,4.830600316082553,0.61,0.21,414.7915404,5.088202331694798
8,b'SDSSJ2322',8.908724821633843e-23,760.0,-2.2e-12,0.1476055626132242,6.168577038645614,170.0,0.04,0.05,0.0016647244880972198,1.5242191916988028e-18,-0.8937908954496864,1.5001233823527698,0.47123889803846897,5.331919923390631,0.27,0.24,1201.4,2.9380112118120447
9,b'4U1820-30',1.4951475522932276e-23,7600.0,-1.679439396704523e-15,0.9359050800653584,4.862918610679213,400.0,0.06,0.0,0.0029196570097891864,3.5790520617504556e-21,0.3291853004021637,1.0138746032961838,1.0471975511965976,5.724592720350565,1.58,0.07,685.01197,2.045708862158222
10,b'HMCnc',6.378340109405091e-23,5000.0,-3.6906980529237e-11,-0.08209999861306724,2.1020514694014603,0.0,0.0,0.0,0.006220278730689922,3.57e-16,0.40832332257657555,3.6115157233843855,0.6632251157578452,3.74707815436836,0.55,0.27,321.529,5.840950175706398
11,b'CRBoo',1.2853821096496618e-22,337.0,0.0,0.3123640422716224,3.530261305773366,39.5,0.22,0.022,0.001359342078434038,1.0610827508934343e-18,1.1604414457220131,5.9509987416779655,0.5235987755982988,1.6255798065519669,0.885,0.066,1471.3,4.106500609750883
12,b'PTFJ0533',5.484693688182916e-23,1740.0,0.0,-0.36867259461368374,1.4469788405442185,140.0,0.04,0.03,0.0016207811370898015,3.962557414514137e-18,-0.2831583508326424,3.5220953895928955,1.270599695451872,3.829561596723921,0.652,0.167,1233.9729,6.061059610413401
13,b'HD265435',3.4389626351237616e-22,451.0,0.0,0.17705056914217138,1.7686267074796578,11.0,0.125,0.15,0.00033636524939426087,5.756230607895215e-20,0.2579983061150033,3.1942377974681637,1.117010721276371,4.320291859533871,0.63,1.01,5945.9174323199995,1.073885953348928
14,b'CDm30',4.150746926520188e-22,337.0,0.0,-0.2899864011001801,3.86022414223331,9.0,0.02,0.01,0.00047261212722718465,1.4400300699425393e-19,0.5050615960971796,5.628468837414259,1.4468779499032993,1.0539555073048037,0.54,0.79,4231.8,4.124353101010888
15,b'ZTFJ0640',1.3255006521822267e-23,5900.0,0.0,-0.09523777079832388,1.7390345672216896,1250.0,0.105,0.22499999999999998,0.0008944479824831307,5.457554037624505e-19,0.09721839319311577,3.4197829426130713,1.1397000015522971,5.582118327914302,0.39,0.325,2236.016,3.0897395261041516
16,b'ZTFJ1749',5.700036712164824e-23,1550.0,0.0,0.5728591554301266,4.660690118491555,190.0,0.060000000000000005,0.045,0.0012610071024396585,1.7276778676458052e-18,0.31245683837426663,0.6023012006952697,1.4913838458291546,3.0764153106528846,0.4,0.28,1586.03389,4.036791540460537
17,b'SMSSJ0338',1.2165015485283437e-22,533.0,0.0,1.036751604431869,1.4047331749428287,13.5,0.015,0.04,0.0010892652905615163,8.172250888426618e-19,0.3626664167691545,2.248990383646574,1.2042771838760873,5.024077181729207,0.23,0.38,1836.1,0.16869897515173574
18,b'SDSSJ1630',1.1512121198171707e-22,1018.9999999999999,0.0,1.100477312050888,4.045177290383375,357.0,0.019,0.24,0.0008368901163277261,6.705569598322206e-19,0.7567817144961341,1.1706971480407025,1.0471975511965976,1.118740030466607,0.298,0.76,2389.8,0.6688097436989993
19,b'ZTFJ2055',4.414699001278293e-23,2570.0,0.0,1.046492251148005,5.952454902884939,125.0,0.05,0.04,0.0005915636924352698,2.290548940848005e-19,0.019592856079476254,1.518734264444443,1.4538592669112764,0.7906857392089286,0.68,0.41,3380.8701,4.9688844247279915
20,b'ZTFJ1901',9.067022803617038e-23,831.0,0.0,1.3026000335651022,5.3548296065608385,298.5,0.04,0.05,0.00082098160690459,4.0659949476636797e-19,0.3487004274336465,1.4544478635701563,1.5233233711406509,1.1800955180886494,0.36,0.36,2436.10817,4.252922960633062
21,b'ZTFJ1946',2.4903445623351793e-23,2380.0,0.0,0.9085162213530071,5.375154273588288,190.0,0.045,0.095,0.0009931367250683863,5.661928014014337e-19,0.063944072945937,1.1748761708281719,1.3452997874372292,3.9838811463831094,0.272,0.307,2013.82141,0.15504520280603118
22,b'ESCet',1.0688817324270971e-22,1584.0,3.2e-12,-0.3548928362946338,0.4294915075083565,291.0,0.1,0.06,0.003224714209703165,-8.319025387409207e-18,-1.1495296439197042,2.9490550999975382,1.0471975511965976,5.624013371278708,0.8,0.161,620.21,1.1555959752434493
23,b'SDSSJ1337',4.407226187702711e-22,113.3,0.0,0.7953745651848135,3.192019308537815,0.5,0.01,0.01,0.0003365330899526027,1.8560060597413666e-20,1.2929388045417525,1.5540916651702597,0.5934119456780721,6.1149843208925425,0.51,0.32,5942.952,5.678256173892097
24,b'ZTFJ2130',8.429892129159294e-23,1209.0,0.0,0.950231765068595,6.076619384579286,46.5,0.02,0.015,0.0008473117889624252,6.046149558587932e-19,-0.089446982717082,1.561992287436006,1.5079644737231006,3.571325789530997,0.545,0.337,2360.4062,6.245577841248841
25,b'V407Vul',1.0972622868820821e-22,1786.0,-2.269474662175e-12,0.8165221703043938,5.148558520637151,667.0,0.1,0.07,0.0035125001097656284,7e-18,0.11171150643697153,1.0075455543806184,1.0471975511965976,0.3264588839853597,0.8,0.177,569.395,1.9878462360990703
